ops	steps	M	K	N	zone
956976	32277755308	194	13	63515	3,1,4,2,1,1,1
956991	32278771620	194	13	63516	3,1,4,3,2
957005	32279787944	194	13	63517	3,1,4,4,1
957023	32280804312	194	13	63518	3,1,3,1,5
957037	32281820668	194	13	63519	3,1,3,1,3,1,1
957052	32282837044	194	13	63520	3,1,3,1,2,1,2
957066	32283853432	194	13	63521	3,1,3,1,2,1,1,1
957083	32284869848	194	13	63522	3,1,3,1,1,1,1,2
957097	32285886268	194	13	63523	3,1,3,1,1,1,1,1,1
957112	32286902708	194	13	63524	3,1,3,1,1,1,1,2
957126	32287919160	194	13	63525	3,1,3,1,1,1,2,1
957142	32288935644	194	13	63526	3,1,3,1,1,1,3
957156	32289952128	194	13	63527	3,1,3,1,1,1,1,1,1
957171	32290968632	194	13	63528	3,1,3,1,1,1,1,2
957185	32291985148	194	13	63529	3,1,3,1,1,1,1,1,1
957202	32293001692	194	13	63530	3,1,3,1,1,1,1,2
957216	32294018240	194	13	63531	3,1,3,1,1,1,1,1,1
957231	32295034808	194	13	63532	3,1,3,1,1,2,2
957245	32296051388	194	13	63533	3,1,3,1,1,3,1
957262	32297068008	194	13	63534	3,1,3,1,1,4
957276	32298084620	194	13	63535	3,1,3,1,1,2,1,1
957291	32299101252	194	13	63536	3,1,3,1,1,1,1,2
957305	32300117896	194	13	63537	3,1,3,1,1,1,1,1,1
957322	32301134568	194	13	63538	3,1,3,1,1,1,1,2
957336	32302151244	194	13	63539	3,1,3,1,1,1,1,1,1
957351	32303167940	194	13	63540	3,1,3,1,1,1,1,2
957365	32304184648	194	13	63541	3,1,3,1,1,1,2,1
957381	32305201388	194	13	63542	3,1,3,1,1,1,3
957395	32306218128	194	13	63543	3,1,3,1,1,1,1,1,1
957410	32307234888	194	13	63544	3,1,3,1,1,1,1,2
957424	32308251660	194	13	63545	3,1,3,1,1,1,1,1,1
